Pobres Criaturas,2023,7.9/10,"An account of the fantastical evolution of Bella Baxter, a young woman brought back to life by the brilliant and unorthodox scientist Dr. Godwin Baxter."
Godzilla e Kong: O Novo Império,2024,6.5/10,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
Kung Fu Panda 4,2024,6.3/10,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
Tarde da Noite Com o Diabo,2023,7.2/10,"A live television broadcast in 1977 goes horribly wrong, unleashing evil into the nation's living rooms."
Duna,2021,8.0/10,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.
Abigail,2024,7.1/10,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl."
Rebel Moon - Parte 2: A Marcadora de Cicatrizes,2024,5.2/10,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion."
Argylle: O Superespião,2024,5.7/10,"A reclusive author who writes espionage novels about a secret agent and a global spy syndicate realizes the plot of the new book she's writing starts to mirror real-world events, in real time."
A Primeira Profecia,2024,6.8/10,"A young American woman is sent to Rome to begin a life of service to the church, but encounters a darkness that causes her to question her faith and uncovers a terrifying conspiracy that hopes to bring about the birth of evil incarnate."
Matador de Aluguel,2024,6.2/10,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems."
Guerra Civil,2024,7.6/10,"A journey across a dystopian future America, following a team of military-embedded journalists as they race against time to reach DC before rebel factions descend upon the White House."
Fúria Primitiva,2024,7.2/10,An anonymous young man unleashes a campaign of vengeance against the corrupt leaders who murdered his mother and continue to systemically victimize the poor and powerless.
Duna: Parte 2,2024,8.7/10,Paul Atreides unites with Chani and the Fremen while seeking revenge against the conspirators who destroyed his family.
The Ministry of Ungentlemanly Warfare,2024,7.3/10,The British military recruits a small group of highly skilled soldiers to strike against German forces behind enemy lines during World War II.
Ghostbusters: Apocalipse de Gelo,2024,6.4/10,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
Imaculada,2024,6.0/10,"Cecilia, a woman of devout faith, is warmly welcomed to the picture-perfect Italian countryside where she is offered a new role at an illustrious convent. But it becomes clear to Cecilia that her new home harbors dark and horrifying secrets."
Oppenheimer,2023,8.3/10,The story of American scientist J. Robert Oppenheimer and his role in the development of the atomic bomb.
Rebel Moon - Parte 1: A Menina do Fogo,2023,5.6/10,"When a peaceful settlement on the edge of a distant moon finds itself threatened by a tyrannical ruling force, a stranger living among its villagers becomes their best hope for survival."
O Rockstar de Punjab,2024,8.1/10,"Follows the life of pop star duo Amar Singh Chamkila and Amarjot Kaur, whose songs that were social commentaries or devotionals became massive hits in the 80's."
O Dublê,2024,7.4/10,A down-and-out stuntman must find the missing star of his ex-girlfriend's blockbuster film.
Bade Miyan Chote Miyan,2024,4.2/10,"With their contrasting personalities and maverick methods, Bade Miyan and Chote Miyan need to overcome their differences and labor together to transport the offenders to impartiality and preserve the day."
Wish - O Poder dos Desejos,2023,5.6/10,A young girl named Asha wishes on a star and gets a more direct answer than she bargained for when a trouble-making star comes down from the sky to join her.
Todos Menos Você,2023,6.2/10,"After an amazing first date, Bea and Ben's fiery attraction turns ice-cold--until they find themselves unexpectedly reunited at a wedding in Australia. So they do what any two mature adults would do: pretend to be a couple."
A Grande Entrevista,2024,6.5/10,How the BBC obtained the bombshell interview with Prince Andrew about his friendship with convicted sex offender Jeffrey Epstein.
Back to Black,2024,6.7/10,"The life and music of Amy Winehouse, through the journey of adolescence to adulthood and the creation of one of the best-selling albums of our time."
Zona de Interesse,2023,7.5/10,Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
Agente X: A Última Missão,2023,5.1/10,An ex-CIA agent is reactivated when an extortionist targets the agency.
O Talentoso Ripley,1999,7.4/10,"In late 1950s New York, a young underachiever named Tom Ripley is sent to Italy to retrieve Dickie Greenleaf, a rich and spoiled millionaire playboy. But when the errand fails, Ripley takes extreme measures."
A Teia,2024,6.0/10,"An ex-homicide detective with memory loss is forced to solve a brutal murder, only to uncover chilling secrets from his forgotten past."
Love Lies Bleeding - O Amor Sangra,2024,7.3/10,"Gym manager Lou falls for Jackie, a bodybuilder who is passing through town en route to a competition in Las Vegas."
Anatomia de uma Queda,2023,7.7/10,A woman is suspected of murder after her husband's death; their half-blind son faces a moral dilemma as the main witness.
Magnatas do Crime,2019,7.8/10,"An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him."
Beekeeper: Rede de Vingança,2024,6.4/10,"One man's brutal campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as ""Beekeepers."""
Damaged,2024,4.6/10,"Dan Lawson (Jackson), a Chicago detective, travels to Scotland to link up with Scottish Det. Boyd (Capaldi), following the resurgence of a serial killer who's crimes match an unsolved case that he looked into 5 years previous in Chicago."
O Fabricante de Lágrimas,2024,5.2/10,Sometimes our greatest fear is accepting that someone can honestly love us for who we are. Nica and Rigel are ready to find it out together.
X - A Marca da Morte,2022,6.5/10,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the crew find themselves fighting for their lives."
Assassino Por Acaso,2023,7.7/10,"A professor moonlighting as a hit man of sorts for his city police department, descends into dangerous, dubious territory when he finds himself attracted to a woman who enlists his services."
Arcadian,2024,6.3/10,A father and his twin teenage sons fight to survive in a remote farmhouse at the end of the end of the world.
Vidro,2019,6.6/10,"Security guard David Dunn uses his supernatural abilities to track Kevin Wendell Crumb, a disturbed man who has twenty-four personalities."
Donzela,2024,6.1/10,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
Matador de Aluguel,1989,6.7/10,"A bouncer hired to clean up the baddest honkytonk in a Missouri town. Armed with a black belt in karate and a degree in philosophy, Patrick Swayze sets out to tame the Double Deuce for its owner."
Grandes Hits,2024,6.2/10,"A love story centering on the connection between music and memory and how they transport us, sometimes literally."
Sasquatch Sunset,2024,6.0/10,A year in the life of a unique family. It captures the daily life of the Sasquatch with a level of detail and rigor that is simply unforgettable.
Maidaan,2023,8.5/10,"Inspired by the Indian national football team coach and manager Syed Abdul Rahim, who is regarded as the architect of Indian football."
Interestelar,2014,8.7/10,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Wicked Little Letters,2023,7.0/10,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate."
O Que Jennifer Fez?,2024,6.0/10,"When Jennifer Pan calls 911 to report that her parents have been shot, she becomes the primary focus of a captivating criminal case."
Pica-Pau: As Férias no Acampamento,2024,4.6/10,"Woody Woodpecker must find a new home after being kicked out of the forest. At Camp Woo Hoo, he thinks he's found a forever home, but there's an inspector on the loose who wants to shut down the camp."
Bob Marley: One Love,2024,6.3/10,"The story of how reggae icon Bob Marley overcame adversity, and the journey behind his revolutionary music."
Era Uma Vez em... Hollywood,2019,7.6/10,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.
Barbie,2023,6.8/10,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans."
Wonka,2023,7.0/10,"With dreams of opening a shop in a city renowned for its chocolate, a young and poor Willy Wonka discovers that the industry is run by a cartel of greedy chocolatiers."
Duna,1984,6.3/10,A Duke's son leads desert warriors against the galactic emperor and his father's evil nemesis to free their desert world from the emperor's rule.
O Poderoso Chefão,1972,9.2/10,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
Um Sonho de Liberdade,1994,9.3/10,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
Dias Perfeitos,2023,7.9/10,"Hirayama cleans public toilets in Tokyo, lives his life in simplicity and daily tranquility. Some encounters also lead him to reflect on himself."
Anna: O Perigo Tem Nome,2019,6.6/10,Beneath Anna Poliatova's striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world's most feared government assassins.
Herança Roubada,2024,5.6/10,"A young woman's struggle to defend her indigenous heritage in a world where xenophobia is on the rise, climate change is threatening reindeer herding, and young people choose suicide in the face of collective desperation."
Garra de Ferro,2023,7.7/10,"The true story of the inseparable Von Erich brothers, who made history in the intensely competitive world of professional wrestling in the early 1980s."
Não Fale o Mal,2022,6.6/10,A Danish family visits a Dutch family they met on a holiday. What was supposed to be an idyllic weekend slowly starts unraveling as the Danes try to stay polite in the face of unpleasantness.
Fragmentado,2016,7.3/10,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.
Madame Teia,2024,3.8/10,"Cassandra Webb is a New York metropolis paramedic who begins to demonstrate signs of clairvoyance. Forced to challenge revelations about her past, she needs to safeguard three young women from a deadly adversary who wants them destroyed."
Saltburn,2023,7.0/10,"A student at Oxford University finds himself drawn into the world of a charming and aristocratic classmate, who invites him to his eccentric family's sprawling estate for a summer never to be forgotten."
Os Pequenos Vestígios,2021,6.3/10,"Kern County Deputy Sheriff Joe Deacon is sent to Los Angeles for what should have been a quick evidence-gathering assignment. Instead, he becomes embroiled in the search for a serial killer who is terrorizing the city."
Coringa,2019,8.4/10,"During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure."
Pulp Fiction: Tempo de Violência,1994,8.9/10,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
Assassinos da Lua das Flores,2023,7.6/10,"When oil is discovered in 1920s Oklahoma under Osage Nation land, the Osage people are murdered one by one - until the FBI steps in to unravel the mystery."
Ricky Stanicky,2024,6.2/10,"When three childhood best friends pull a prank that goes wrong, they invent the imaginary Ricky Stanicky to get them out of trouble. Twenty years later, they still use the nonexistent Ricky as a handy alibi for their immature behavior."
Hundreds of Beavers,2022,7.8/10,"In this 19th century, supernatural winter epic, a drunken applejack salesman must go from zero to hero and become North America's greatest fur trapper by defeating hundreds of beavers."
Zona de Risco,2024,6.5/10,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.
Cruzada,2005,7.3/10,"Balian of Ibelin travels to Jerusalem during the Crusades of the 12th century, and there he finds himself as the defender of the city and its people."
Os Rejeitados,2023,7.9/10,A cranky history teacher at a prep school is forced to remain on campus over the holidays with a grieving cook and a troubled student who has no place to go.
Love,2015,6.1/10,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed."
Ghostbusters: Mais Além,2021,7.0/10,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind."
"LaRoy, Texas",2023,6.4/10,"When Ray discovers that his wife is cheating on him, he decides he's going to kill himself. His plans suddenly change when a stranger mistakes him for a low-rent hitman."
Os Caça-Fantasmas,1984,7.8/10,"Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers."
O Lar das Crianças Peculiares,2016,6.7/10,"When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
Jogos Vorazes: A Cantiga dos Pássaros e das Serpentes,2023,6.8/10,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.
Titanic,1997,7.9/10,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Megan Leavey,2017,7.1/10,Based on the true life story of a young Marine corporal whose unique discipline and bond with her military combat dog saved many lives during their deployment in Iraq.
Uma Parede entre Nós,2024,5.9/10,Valentina is a young pianist starting over. Her neighbor David is an inventor who hates noise. And a paper-thin wall is about to become their matchmaker.
Contra o Mundo,2023,6.7/10,"A fever dream action film that follows Boy, a deaf person with a vibrant imagination. When his family is murdered, he is trained by a mysterious shaman to repress his childish imagination and become an instrument of death."
Sweet Dreams,2024,5.4/10,"Follows Morris, who must coach a misfit softball team of his fellow housemates during his mandatory stay at Sweet Dreams sober living in order to get his life back on track."
A Bruxa dos Mortos: Baghead,2023,5.4/10,"A young woman inherits a run-down pub and discovers a dark secret within its basement - Baghead - a shape-shifting creature that will let you speak to lost loved ones, but not without consequence."
Godzilla Minus One,2023,8.3/10,"Post war Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb."
Ficção Americana,2023,7.5/10,A novelist who's fed up with the establishment profiting from Black entertainment uses a pen name to write a book that propels him into the heart of the hypocrisy and madness he claims to disdain.
Crew,2024,6.7/10,Follows three hard-working women as their destinies lead to some unwarranted situations and they end up caught in a web of lies.
